epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,19.965,2.00848,2.1727,1.19662,0.01989,0.89209,0.04834,0.02072,1.49271,2.99664,0.97134,0.000651163,0.000651163,0.000651163
2,32.165,1.47956,1.07146,1.01354,0.99779,0.23216,0.85149,0.47254,1.37763,2.1453,0.94441,0.00130478,0.00130478,0.00130478
3,43.4045,1.38094,0.92591,0.9853,0.94489,0.85663,0.92666,0.54894,1.27877,1.06051,0.94006,0.0019452,0.0019452,0.0019452
4,54.3897,1.32211,0.87483,0.96783,0.92466,0.84506,0.91892,0.49861,1.34891,0.83129,0.94944,0.0019406,0.0019406,0.0019406
5,65.9798,1.31266,0.82308,0.9693,0.94139,0.8749,0.94177,0.60056,1.18951,0.72534,0.91595,0.0019208,0.0019208,0.0019208
6,76.9983,1.25531,0.77139,0.95179,0.94815,0.8833,0.94416,0.61081,1.20221,0.6996,0.92526,0.001901,0.001901,0.001901
7,88.1976,1.24154,0.74034,0.952,0.95377,0.87873,0.93434,0.60183,1.23255,0.67533,0.93862,0.0018812,0.0018812,0.0018812
8,98.9604,1.17268,0.69327,0.93338,0.93069,0.89568,0.93733,0.62696,1.12074,0.6427,0.89751,0.0018614,0.0018614,0.0018614
9,109.743,1.16547,0.6734,0.92884,0.93766,0.89568,0.94549,0.61543,1.17227,0.64634,0.90705,0.0018416,0.0018416,0.0018416
10,120.2,1.15678,0.66413,0.93291,0.95034,0.90493,0.95135,0.64965,1.0395,0.59752,0.893,0.0018218,0.0018218,0.0018218
11,130.937,1.14224,0.64484,0.93235,0.94971,0.90248,0.95127,0.62895,1.15154,0.62427,0.90692,0.001802,0.001802,0.001802
12,141.802,1.11475,0.62936,0.92383,0.95156,0.91161,0.95931,0.64585,1.07209,0.58522,0.90622,0.0017822,0.0017822,0.0017822
13,152.435,1.10846,0.62188,0.91737,0.961,0.899,0.96101,0.6555,1.10477,0.57997,0.90007,0.0017624,0.0017624,0.0017624
14,163.071,1.11139,0.60792,0.91887,0.95896,0.90288,0.95848,0.67182,0.98177,0.57518,0.87078,0.0017426,0.0017426,0.0017426
15,174.077,1.07397,0.60105,0.91402,0.95641,0.91316,0.96099,0.66932,1.00192,0.57913,0.8821,0.0017228,0.0017228,0.0017228
16,185.095,1.04973,0.59058,0.909,0.96867,0.91881,0.96572,0.68004,1.00146,0.55426,0.87831,0.001703,0.001703,0.001703
17,195.75,1.03807,0.58243,0.90679,0.96062,0.90288,0.96206,0.69668,0.98679,0.55481,0.86823,0.0016832,0.0016832,0.0016832
18,206.619,1.0275,0.57675,0.90264,0.94846,0.90956,0.96356,0.69163,0.97157,0.54543,0.87377,0.0016634,0.0016634,0.0016634
19,217.354,1.03073,0.57064,0.90107,0.95864,0.9224,0.96494,0.70301,0.96711,0.53207,0.86656,0.0016436,0.0016436,0.0016436
20,228.027,1.02335,0.56232,0.90412,0.95894,0.92419,0.96779,0.69324,0.94979,0.51048,0.86642,0.0016238,0.0016238,0.0016238
21,238.472,0.98297,0.54356,0.89645,0.93732,0.90956,0.96149,0.69985,0.94489,0.51319,0.87056,0.001604,0.001604,0.001604
