epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,66.158,1.98731,2.25892,1.22234,0.02006,0.89979,0.03105,0.01272,1.58233,2.94356,1.00555,0.000651163,0.000651163,0.000651163
2,80.3586,1.4553,1.14521,1.0237,0.97947,0.2206,0.73983,0.39072,1.52577,2.08259,0.9844,0.00118736,0.00118736,0.00118736
3,92.0181,1.39161,0.99385,1.00374,0.89523,0.85179,0.89302,0.50619,1.40631,1.16033,0.96686,0.00159157,0.00159157,0.00159157
4,102.268,1.30957,0.9299,0.97864,0.92847,0.85379,0.9186,0.5614,1.27486,0.80391,0.94826,0.001406,0.001406,0.001406
5,113.181,1.25837,0.84694,0.96735,0.95293,0.87461,0.94117,0.60683,1.16927,0.71612,0.91324,0.001208,0.001208,0.001208
6,123.529,1.20283,0.77085,0.95144,0.95308,0.8664,0.936,0.61123,1.14265,0.66824,0.90742,0.00101,0.00101,0.00101
7,133.206,1.17613,0.73901,0.9505,0.95734,0.86489,0.94522,0.62369,1.12299,0.66957,0.91045,0.000812,0.000812,0.000812
8,143.245,1.13588,0.70575,0.93248,0.9606,0.87102,0.94242,0.63609,1.05094,0.61965,0.89278,0.000614,0.000614,0.000614
9,152.924,1.09637,0.67389,0.92053,0.94416,0.89723,0.9476,0.6453,1.07,0.6002,0.88975,0.000416,0.000416,0.000416
10,162.726,1.06252,0.65115,0.91936,0.94636,0.90288,0.95767,0.67192,0.98891,0.56279,0.87929,0.000218,0.000218,0.000218
